Referee,GameCount,TotalPenaltyMinutes,TotalPenaltyCount,AvgPenaltyMinutesPerGame,AvgPenaltyCountPerGame,Minor_Minutes,Misconduct_Minutes,Stick Infractions_Minutes,Illegal Contact_Minutes,Physical Aggressiveness_Minutes,Game Flow Disruptions_Minutes,Contact to the Head_Minutes,None_Minutes
Ryan Sweeney,2,39,14,19.5,7.0,18,,10.0,4.0,2.0,2.0,,
Kenneth Gates,1,25,7,25.0,7.0,11,,,6.0,,,5.0,
Ron  Morello,1,25,7,25.0,7.0,8,,4.0,2.0,,2.0,,
Matt Fuller,1,14,7,14.0,7.0,10,,4.0,2.0,4.0,,,
Brian Aaron,2,26,13,13.0,6.5,24,,4.0,6.0,10.0,2.0,2.0,
Matthew Hallock,2,26,13,13.0,6.5,18,,8.0,,4.0,6.0,,
Scott Hansen,3,38,19,12.666666666666666,6.333333333333333,28,,8.0,8.0,12.0,,,
CJ  Hallman,1,12,6,12.0,6.0,8,,2.0,2.0,4.0,,,
Ron Morello,1,12,6,12.0,6.0,8,,2.0,2.0,4.0,,,
Tony Czech,2,24,12,12.0,6.0,20,,2.0,12.0,6.0,,,
Alex Berard,2,24,12,12.0,6.0,16,,6.0,4.0,6.0,,,
Brett Desroiers,2,24,12,12.0,6.0,10,,2.0,2.0,4.0,2.0,,
Matt Hallock,1,10,5,10.0,5.0,6,,2.0,4.0,,,,
William McGoldrick,1,10,5,10.0,5.0,6,,2.0,4.0,,,,
Chris  Leavitt,1,6,3,6.0,3.0,6,,2.0,4.0,,,,
Deric  Boehm,1,6,3,6.0,3.0,6,,2.0,4.0,,,,
