Team,Tied,Lead by 1,Lead by 2,Lead by 3+,Down by 1,Down by 2,Down by 3+,Total_Time,All_Lead,All_Deficit,PCT_Tied,PCT_Lead by 1,PCT_Lead by 2,PCT_Lead by 3+,PCT_Down by 1,PCT_Down by 2,PCT_Down by 3+,PCT_All_Lead,PCT_All_Deficit
Notre Dame,328.01666666666665,101.9,72.63333333333334,3.55,93.88333333333334,70.06666666666666,10.25,680.3,178.08333333333334,174.2,0.48216473124601894,0.14978685873879172,0.10676662256847469,0.0052182860502719385,0.13800284188348277,0.10299377725513253,0.01506688225782743,0.2617717673575383,0.25606350139644274
Wisconsin,211.83333333333334,57.05,109.0,55.43333333333333,60.43333333333333,58.88333333333333,59.18333333333333,611.8166666666667,221.48333333333332,178.5,0.34623661772317416,0.09324688768421913,0.17815794491813997,0.09060448391402653,0.09877686670843662,0.0962434280421695,0.0967337710098341,0.3620093165163856,0.2917540657604402
Adrian,21.466666666666665,0.0,0.0,0.0,0.0,60.983333333333334,81.55,164.0,0.0,142.53333333333333,0.13089430894308943,0.0,0.0,0.0,0.0,0.37184959349593494,0.4972560975609756,0.0,0.8691056910569106
Bowling Green,273.56666666666666,92.13333333333334,150.01666666666668,148.28333333333333,70.01666666666667,42.36666666666667,0.0,776.3833333333333,390.43333333333334,112.38333333333334,0.3523603031148702,0.11866990103685894,0.19322499624326472,0.19099242212824422,0.09018311401154928,0.05456926346521263,0.0,0.5028873194083678,0.1447523774767619
Michigan,260.3666666666667,121.88333333333334,62.46666666666667,143.81666666666666,11.133333333333333,66.16666666666667,30.333333333333332,696.1666666666666,328.1666666666667,107.63333333333334,0.3740004788125449,0.17507780703854442,0.0897294709121379,0.2065836724922193,0.01599233899928178,0.09504429016040221,0.043571941584869524,0.4713909504429016,0.1546085707445535
Arizona State,282.76666666666665,85.1,78.21666666666667,37.13333333333333,165.01666666666668,115.38333333333334,111.1,874.7166666666667,200.45,391.5,0.32326658155974314,0.09728864584722673,0.08941943105386506,0.04245184154869196,0.1886515633633748,0.13190938018024884,0.12701255644684945,0.22915991844978373,0.4475734999904731
Holy Cross,160.56666666666666,93.33333333333333,23.133333333333333,47.333333333333336,21.283333333333335,26.033333333333335,46.63333333333333,418.31666666666666,163.8,93.95,0.383839993625244,0.2231164588230607,0.05530100800828718,0.11315191840312364,0.0508785210566158,0.062233555121718,0.11147854496195067,0.3915693852344715,0.22459062114028447
Long Island,162.31666666666666,23.416666666666668,8.333333333333334,0.0,69.08333333333333,52.86666666666667,68.6,384.6166666666667,31.75,190.55,0.422021926593578,0.06088313038956537,0.021666594444685185,0.0,0.17961606794644017,0.13745287515708282,0.17835940546864842,0.08254972483425055,0.49542834857217144
Michigan State,352.71666666666664,71.91666666666667,51.5,27.416666666666668,71.61666666666666,97.63333333333334,63.233333333333334,736.0333333333333,150.83333333333334,232.48333333333332,0.4792128979665776,0.09770843711788416,0.06996965717132377,0.037249218785381094,0.09730084688193469,0.13264797789955166,0.08591096417734705,0.204927313074589,0.3158597889588334
Penn State,184.81666666666666,104.0,46.25,12.333333333333334,121.11666666666666,138.88333333333333,102.18333333333334,709.5833333333334,162.58333333333334,362.18333333333334,0.26045801526717555,0.1465648854961832,0.06517909571344686,0.017381092190252495,0.17068702290076335,0.19572519083969467,0.14400469759248385,0.22912507339988256,0.5104169113329419
