Team,Tied,Lead by 1,Lead by 2,Lead by 3+,Down by 1,Down by 2,Down by 3+,Total_Time,All_Lead,All_Deficit,PCT_Tied,PCT_Lead by 1,PCT_Lead by 2,PCT_Lead by 3+,PCT_Down by 1,PCT_Down by 2,PCT_Down by 3+,PCT_All_Lead,PCT_All_Deficit
Miami,770.35,90.3,150.08333333333334,97.21666666666667,189.85,237.36666666666667,447.71666666666664,1982.8833333333334,337.6,874.9333333333333,0.38849991174468157,0.045539744311734597,0.07568944214233482,0.04902793070696713,0.09574441259781631,0.11970783286964269,0.2257907256268229,0.17025711716103653,0.4412429710942819
Ferris State,720.1166666666667,327.05,160.38333333333333,123.63333333333334,226.18333333333334,189.31666666666666,309.8333333333333,2056.516666666667,611.0666666666667,725.3333333333334,0.3501633020236484,0.15903104764529016,0.07798785973045036,0.060117836795228176,0.10998371031922911,0.09205695715246655,0.15065928633368722,0.2971367441709687,0.3526999538053829
Mass. Lowell,955.8,235.33333333333334,166.23333333333332,114.4,224.6,171.91666666666666,53.88333333333333,1922.1666666666667,515.9666666666667,450.4,0.497251365646406,0.12243128414116015,0.08648226827364952,0.0595161709876008,0.11684730772565681,0.08943900112720021,0.02803260209832654,0.26842972340241045,0.23431891095118357
St. Lawrence,740.0833333333334,207.88333333333333,229.18333333333334,124.8,206.08333333333334,224.83333333333334,206.08333333333334,1938.95,561.8666666666667,637.0,0.3816928406267997,0.10721438579299793,0.1181997129030317,0.0643647334897754,0.10628604829074155,0.11595623060591213,0.10628604829074155,0.289778832185805,0.3285283271873952
St. Cloud State,1002.1833333333333,189.51666666666668,316.96666666666664,234.96666666666667,220.7,176.5,133.36666666666667,2274.2,741.45,530.5666666666667,0.44067510919590774,0.08333333333333333,0.13937501832146101,0.10331838302113563,0.09704511476563187,0.07760970890862721,0.058643332453903206,0.32602673467593,0.2332981561281623
St. Thomas,971.2833333333333,159.33333333333334,138.86666666666667,52.21666666666667,302.1,216.78333333333333,167.0,2007.5833333333333,350.4166666666667,685.8833333333333,0.4838072309161098,0.0793657382424972,0.06917105973185007,0.026009713170893695,0.1504794321530862,0.10798223402930555,0.08318459175625752,0.17454651114524097,0.3416462579386493
Minnesota Duluth,758.4166666666666,307.8333333333333,169.15,154.18333333333334,213.13333333333333,255.41666666666666,175.31666666666666,2033.45,631.1666666666666,643.8666666666667,0.3729704033375134,0.15138475661232553,0.08318375175194866,0.07582351832271919,0.10481365823272436,0.12560754710795283,0.08621636463481604,0.3103920266869934,0.3166375699754932
Arizona State,772.6333333333333,186.68333333333334,240.16666666666666,182.41666666666666,340.76666666666665,286.65,162.71666666666667,2172.0333333333333,609.2666666666667,790.1333333333333,0.35571891161891317,0.08594865026626357,0.11057227482696705,0.08398428507849788,0.15688832276975492,0.13197311275149246,0.07491444268811098,0.28050521017172847,0.36377587820935836
Boston University,861.35,263.76666666666665,338.5833333333333,367.78333333333336,199.8,112.23333333333333,98.68333333333334,2242.2,970.1333333333333,410.71666666666664,0.38415395593613416,0.11763743941961764,0.151004965361401,0.16402788927541403,0.0891089108910891,0.05005500550055005,0.04401183361579401,0.43267029405643265,0.18317575000743316
Bentley,583.4833333333333,135.73333333333332,169.83333333333334,99.63333333333334,147.5,354.95,378.3,1869.4333333333334,405.2,880.75,0.31211775404311465,0.07260667225362409,0.09084749389298005,0.053296007702868964,0.07890091471568925,0.1898703707005688,0.20236078669115418,0.2167501738494731,0.4711320721074122
