Team,Tied,Lead by 1,Lead by 2,Lead by 3+,Down by 1,Down by 2,Down by 3+,Total_Time,All_Lead,All_Deficit,PCT_Tied,PCT_Lead by 1,PCT_Lead by 2,PCT_Lead by 3+,PCT_Down by 1,PCT_Down by 2,PCT_Down by 3+,PCT_All_Lead,PCT_All_Deficit
Providence,729.85,172.45,221.71666666666667,341.3333333333333,243.85,259.73333333333335,98.01666666666667,2066.95,735.5,601.6,0.3531048162751881,0.08343211011393599,0.10726755202915729,0.1651386503463235,0.11797576138755171,0.12566019174790552,0.04742091809993791,0.3558383124894168,0.29105687123539514
Army,745.25,144.48333333333332,257.4,152.11666666666667,244.0,178.5,153.21666666666667,1874.9666666666667,554.0,575.7166666666667,0.39747373286636206,0.07705914771818166,0.13728244057672137,0.0811303312058881,0.13013564685594411,0.09520169247453288,0.08171700830236982,0.2954719195007911,0.3070543476328468
Connecticut,944.0833333333334,313.06666666666666,168.06666666666666,159.2,148.41666666666666,216.06666666666666,46.71666666666667,1995.6166666666666,640.3333333333334,411.2,0.47307849703934457,0.156877155766388,0.08421791092143614,0.07977483985735404,0.0743713304993444,0.10827062645631676,0.023409639459816098,0.32086990654517816,0.20605159641547727
Sacred Heart,936.35,199.71666666666667,259.26666666666665,91.41666666666667,228.18333333333334,190.63333333333333,103.85,2009.4166666666667,550.4,522.6666666666666,0.4659810060962966,0.09939037033965081,0.12902583668560527,0.04549413179612657,0.11355700244681292,0.09486998714386431,0.05168166549164351,0.27391033882138266,0.2601086550823207
Miami,684.1666666666666,160.93333333333334,197.41666666666666,79.11666666666666,340.56666666666666,282.31666666666666,309.3,2053.8166666666666,437.46666666666664,932.1833333333333,0.3331196390460038,0.07835817867547412,0.09612185443361547,0.038521776529875276,0.16582135698577447,0.13745952657247887,0.15059766775677802,0.21300180963896487,0.45387855131503135
Ferris State,877.6166666666667,268.65,136.05,71.55,157.2,160.81666666666666,334.6666666666667,2006.55,476.25,652.6833333333333,0.43737592717184554,0.13388652164162368,0.06780294535396576,0.035658219331688716,0.0783434252822008,0.08014585565605974,0.16678710556261578,0.23734768632727815,0.3252763865008763
Northeastern,982.65,183.65,311.95,188.46666666666667,165.6,75.81666666666666,115.26666666666667,2023.4,684.0666666666667,356.68333333333334,0.4856429771671444,0.09076307205693387,0.15417119699515666,0.09314355375440678,0.08184244341207868,0.03746993509274818,0.056966821521531416,0.33807782280649734,0.17627920002635827
Bentley,599.6,151.46666666666667,242.7,90.31666666666666,248.5,207.35,361.85,1901.7833333333333,484.48333333333335,817.7,0.3152830238285118,0.07964454415592383,0.12761706117941932,0.047490513290157486,0.13066683025581252,0.10902924448105725,0.19026878280911777,0.2547521186255006,0.4299648575459875
St. Cloud State,792.6666666666666,99.3,251.15,391.01666666666665,187.78333333333333,143.23333333333332,142.21666666666667,2007.3666666666666,741.4666666666667,473.23333333333335,0.39487886285515017,0.04946779362680792,0.12511416283356305,0.1947908536889125,0.09354710150944023,0.07135384666478471,0.07084737882134139,0.36937281014928347,0.23574832699556633
St. Thomas,669.5666666666667,62.9,28.4,54.416666666666664,327.55,349.98333333333335,480.4166666666667,1973.2333333333333,145.71666666666667,1157.95,0.33932462793722656,0.03187661536902208,0.014392621247698363,0.027577411017450208,0.16599658766491546,0.1773654070307617,0.24346672973292566,0.07384664763417065,0.5868287244286028
Colgate,964.8833333333333,227.85,220.0,198.93333333333334,205.13333333333333,256.15,95.11666666666666,2168.0666666666666,646.7833333333333,556.4,0.44504320285354076,0.10509363180714,0.10147289443744043,0.09175609606100674,0.09461578672242552,0.11814673595522893,0.04387165216321761,0.29832262230558715,0.25663417484087203
RIT,906.3333333333334,335.06666666666666,111.21666666666667,48.3,144.38333333333333,191.23333333333332,275.76666666666665,2012.3,494.5833333333333,611.3833333333333,0.45039672679686593,0.16650930113137538,0.055268432473620566,0.02400238533021915,0.07175040169623483,0.09503221852275175,0.1370405340489324,0.2457801189352151,0.30382315426791895
Massachusetts,867.0666666666667,254.65,326.03333333333336,203.7,225.81666666666666,167.6,36.7,2081.5666666666666,784.3833333333333,430.1166666666667,0.41654523035534136,0.12233574070812049,0.15662882124041186,0.09785898441878713,0.10848399442727433,0.08051627780357744,0.01763095104648742,0.37682354636731946,0.20663122327733918
Minnesota State,784.2,320.6666666666667,440.35,595.55,57.916666666666664,80.21666666666667,37.35,2316.25,1356.5666666666666,175.48333333333332,0.33856449001619,0.13844216585716856,0.19011332973556394,0.257118186724231,0.02500449721172873,0.03463212808059003,0.016125202374527792,0.5856736823169635,0.07576182766684655
Omaha,744.3833333333333,281.3333333333333,207.51666666666668,327.31666666666666,141.68333333333334,246.43333333333334,160.85,2109.516666666667,816.1666666666666,548.9666666666667,0.35286914064043107,0.13336388272195052,0.09837166491534395,0.15516192492751105,0.06716388430209132,0.11681980864495027,0.07624969384772183,0.3868974725648055,0.26023338679476343
Lake Superior,661.9833333333333,255.8,197.26666666666668,233.56666666666666,145.61666666666667,239.81666666666666,244.88333333333333,1978.9333333333334,686.6333333333333,630.3166666666667,0.3345152270583479,0.1292615550464897,0.09968333108745452,0.11802654628756232,0.07358341193909176,0.1211848133674707,0.12374511521358307,0.3469714324215065,0.3185133405201455
Arizona State,703.15,262.18333333333334,156.23333333333332,204.13333333333333,159.3,213.66666666666666,249.63333333333333,1948.3,622.55,622.6,0.3609043781758456,0.13457030915841162,0.08018956697291656,0.10477510308131875,0.08176358876969665,0.10966825779739602,0.1281287960444148,0.3195349792126469,0.31956064261150746
Mass. Lowell,734.8333333333334,237.35,342.4166666666667,170.1,214.11666666666667,115.66666666666667,36.7,1851.1833333333334,749.8666666666667,366.48333333333335,0.39695330014135105,0.12821528571814425,0.18497177481070667,0.09188717126882805,0.11566475497654653,0.062482556202789204,0.01982515688163427,0.405074231797679,0.19797246806097002
Penn State,796.4333333333333,216.41666666666666,291.8833333333333,168.81666666666666,232.73333333333332,218.38333333333333,139.3,2063.9666666666667,677.1166666666667,590.4166666666666,0.38587509488202326,0.10485472956604597,0.14141862756181464,0.0817923416075841,0.11276021899578481,0.10580758733183676,0.06749140005491044,0.32806569873544467,0.286059206382532
