Team,Goalie,SV,GA,Minutes,Game_ID,Total_Minutes,TimeDelta,Home_Team,Away_Team
Colorado College,Dominic Basse,14,3,60:00,2022-01-08-Colorado College-Miami,60.0,0 days 01:00:00,Miami,Colorado College
Miami,EMPTY NET,0,0,2:19,2022-01-08-Colorado College-Miami,2.3166666666666664,0 days 00:02:19,Miami,Colorado College
Miami,Ludvig Persson,28,4,57:41,2022-01-08-Colorado College-Miami,57.68333333333333,0 days 00:57:41,Miami,Colorado College
Massachusetts,EMPTY NET,0,1,0:42,2022-01-09-Massachusetts-Michigan,0.7,0 days 00:00:42,Michigan,Massachusetts
Massachusetts,Matt Murray,42,3,59:18,2022-01-09-Massachusetts-Michigan,59.3,0 days 00:59:18,Michigan,Massachusetts
Michigan,Erik Portillo,28,2,59:58,2022-01-09-Massachusetts-Michigan,59.96666666666667,0 days 00:59:58,Michigan,Massachusetts
American Int'l,Alec Calvaruso,21,2,60:00,2022-01-09-American Int'l-Holy Cross,60.0,0 days 01:00:00,Holy Cross,American Int'l
Holy Cross,EMPTY NET,0,1,3:28,2022-01-09-American Int'l-Holy Cross,3.466666666666667,0 days 00:03:28,Holy Cross,American Int'l
Holy Cross,Erik Gordon,28,4,56:32,2022-01-09-American Int'l-Holy Cross,56.53333333333333,0 days 00:56:32,Holy Cross,American Int'l
Sacred Heart,EMPTY NET,0,0,2:21,2022-01-11-Sacred Heart-RIT,2.35,0 days 00:02:21,RIT,Sacred Heart
Sacred Heart,Luke Lush,26,3,57:39,2022-01-11-Sacred Heart-RIT,57.65,0 days 00:57:39,RIT,Sacred Heart
RIT,Kolby Matthews,37,2,59:58,2022-01-11-Sacred Heart-RIT,59.96666666666667,0 days 00:59:58,RIT,Sacred Heart
