Team,Goalie,SV,GA,Minutes,Game_ID,Total_Minutes,TimeDelta,Home_Team,Away_Team
Minnesota Duluth,EMPTY NET,0,1,0:11,2022-01-22-Minnesota Duluth-Omaha,0.18333333333333332,0 days 00:00:11,Omaha,Minnesota Duluth
Minnesota Duluth,Ryan Fanti,20,4,59:49,2022-01-22-Minnesota Duluth-Omaha,59.81666666666667,0 days 00:59:49,Omaha,Minnesota Duluth
Omaha,Isaiah Saville,27,1,60:00,2022-01-22-Minnesota Duluth-Omaha,60.0,0 days 01:00:00,Omaha,Minnesota Duluth
Rensselaer,Jack Watson,39,0,60:00,2022-01-25-Rensselaer-Harvard,60.0,0 days 01:00:00,Harvard,Rensselaer
Harvard,EMPTY NET,0,1,1:35,2022-01-25-Rensselaer-Harvard,1.5833333333333335,0 days 00:01:35,Harvard,Rensselaer
Harvard,Mitchell Gibson,23,1,58:25,2022-01-25-Rensselaer-Harvard,58.416666666666664,0 days 00:58:25,Harvard,Rensselaer
Boston University,Drew Commesso,32,4,60:00,2022-01-25-Boston University-Massachusetts,60.0,0 days 01:00:00,Massachusetts,Boston University
Massachusetts,EMPTY NET,0,1,0:41,2022-01-25-Boston University-Massachusetts,0.6833333333333333,0 days 00:00:41,Massachusetts,Boston University
Massachusetts,Matt Murray,14,4,23:32,2022-01-25-Boston University-Massachusetts,23.533333333333335,0 days 00:23:32,Massachusetts,Boston University
Massachusetts,Luke Pavicich,8,1,35:47,2022-01-25-Boston University-Massachusetts,35.78333333333333,0 days 00:35:47,Massachusetts,Boston University
Merrimack,EMPTY NET,0,0,1:45,2022-01-25-Merrimack-Connecticut,1.75,0 days 00:01:45,Connecticut,Merrimack
Merrimack,Hugo Ollas,26,3,58:15,2022-01-25-Merrimack-Connecticut,58.25,0 days 00:58:15,Connecticut,Merrimack
Connecticut,Darion Hanson,18,2,60:00,2022-01-25-Merrimack-Connecticut,60.0,0 days 01:00:00,Connecticut,Merrimack
Union,Connor Murphy,25,2,60:00,2022-01-26-Union-Dartmouth,60.0,0 days 01:00:00,Dartmouth,Union
Dartmouth,EMPTY NET,0,0,1:49,2022-01-26-Union-Dartmouth,1.8166666666666667,0 days 00:01:49,Dartmouth,Union
Dartmouth,Justin Ferguson,22,3,58:11,2022-01-26-Union-Dartmouth,58.18333333333333,0 days 00:58:11,Dartmouth,Union
Holy Cross,EMPTY NET,0,1,1:04,2022-01-27-Holy Cross-American Int'l,1.0666666666666667,0 days 00:01:04,American Int'l,Holy Cross
Holy Cross,Matt Radomsky,15,2,58:56,2022-01-27-Holy Cross-American Int'l,58.93333333333333,0 days 00:58:56,American Int'l,Holy Cross
American Int'l,Jake Kucharski,17,1,60:00,2022-01-27-Holy Cross-American Int'l,60.0,0 days 01:00:00,American Int'l,Holy Cross
St. Lawrence,EMPTY NET,0,0,2:11,2022-01-28-St. Lawrence-Clarkson,2.183333333333333,0 days 00:02:11,Clarkson,St. Lawrence
St. Lawrence,Emil Zetterquist,25,1,57:49,2022-01-28-St. Lawrence-Clarkson,57.81666666666667,0 days 00:57:49,Clarkson,St. Lawrence
Clarkson,Jacob Mucitelli,25,0,60:00,2022-01-28-St. Lawrence-Clarkson,60.0,0 days 01:00:00,Clarkson,St. Lawrence
