Color,Hex_Code,Team,color_level
GOLD ,#FFC82E;,Central Michigan Chippewas,2
Green,#046A38;,Charlotte 49ers,1
Gold ,#B9975B;,Charlotte 49ers,2
Black,#27251F;,Charlotte 49ers,3
Gold,#A8996E;,Charleston Buccaneers,1
Blue,#002855;,Charleston Buccaneers,2
White,#ffffff;,Charleston Buccaneers,3
Maroon,#800000;,Charleston Cougars,1
METALLIC GOLD,#9d8958;,Charleston Cougars,2
GRAY,#d9d9d6;,Charleston Cougars,3
GOLD,#c5b783;,Charleston Cougars,4
White,#ffffff;,Charleston Cougars,5
Blue,#00386b;,Chattanooga Mocs,1
Gold,#e0aa0f;,Chattanooga Mocs,2
Gray,#adafaa;,Chattanooga Mocs,3
Green ,#006666;,Chicago State Cougars,1
Black ,#000000;,Chicago State Cougars,2
RED,#E00122;,Cincinnati Bearcats,1
BLACK,#000000;,Cincinnati Bearcats,2
WHITE,#FFFFFF;,Cincinnati Bearcats,3
Citadel Blue ,#3975B7;,The Citadel,1
Navy,#1F3A60;,The Citadel,2
Dress White,#FFF;,The Citadel,3
Clemson Orange,#F56600;,Clemson Tigers,1
Regalia,#522D80;,Clemson Tigers,2
CLEVELAND STATE GREEN ,#006747;,Cleveland State Vikings,1
BLACK,#000000;,Cleveland State Vikings,2
WHITE,#FFFFFF;,Cleveland State Vikings,3
Teal,#006f71;,Coastal Carolina Chanticleers,1
Gold,#A27752;,Coastal Carolina Chanticleers,2
Black,#111111;,Coastal Carolina Chanticleers,3
Maroon ,#821019;,Colgate Raiders,1
Maple Red,#E10028;,Colgate Raiders,2
Black,#000000;,Colgate Raiders,3
Shadow Gray ,#5A646E;,Colgate Raiders,4
Winter Gray ,#D2D4D6;,Colgate Raiders,5
Gold,#CFB87C;,Colorado Buffaloes,1
Black,#000000;,Colorado Buffaloes,2
Dark Gray,#565A5C;,Colorado Buffaloes,3
Light Gray,#A2A4A3;,Colorado Buffaloes,4
BLUE,#4b92db;,Colorado Buffaloes,5
Green ,#1E4D2B;,Colorado State Rams,1
Gold ,#C8C372;,Colorado State Rams,2
ATHLETIC DARK BLUE ,#003865;,Columbia Lions,1
COLUMBIA BLUE ,#9BCBEB;,Columbia Lions,2
WHITE,#FFFFFF;,Columbia Lions,3
Navy Blue ,#000e2f;,Connecticut Huskies,1
White ,#ffffff;,Connecticut Huskies,2
Grey ,#7C878E;,Connecticut Huskies,3
Red (Husky Tongue) ,#e4002b;,Connecticut Huskies,4
Grey ,#a2aaad;,Connecticut Huskies,5
Light Blue (Husky Eyes) ,#a4c8e1;,Connecticut Huskies,6
Blue,#003056;,Coppin State Eagles,1
Gold,#ffc915;,Coppin State Eagles,2
CARNELLIAN ,#B31B1B;,Cornell Big Red,1
BROWN,#5e3920;,Cornell Big Red,2
LIGHT BROWN,#89572e;,Cornell Big Red,3
BLACK,#000000;,Cornell Big Red,4
WHITE,#FFFFFF;,Cornell Big Red,5
CU BlUE ,#005ca9;,Creighton Bluejays,1
CU NAVY BLUE ,#00235D;,Creighton Bluejays,2
CU LIGHT BLUE ,#6CADDE;,Creighton Bluejays,3
CU GRAY ,#828282;,Creighton Bluejays,4
CU LIGHT GRAY ,#C8C8C8;,Creighton Bluejays,5
SILVER METALLIC ,#8A8D8F;,Creighton Bluejays,6
Blue ,#003594;,CSUB Roadrunners,1
Gold ,#FFC72C;,CSUB Roadrunners,2
RED ,#CE1126;,CSUN Matadors,1
SILVER ,#D1CEC6;,CSUN Matadors,2
BLACK,#000000;,CSUN Matadors,3
DARTMOUTH GREEN ,#046A38;,Dartmouth Big Green,1
BLACK,#000000;,Dartmouth Big Green,2
WHITE,#FFFFFF;,Dartmouth Big Green,3
Red ,#ac1a2f;,Davidson Wildcats,1
Black,#000000;,Davidson Wildcats,2
RED SCARE ,#CE1141;,Dayton Flyers,1
FLYERS BLUE ,#004B8D;,Dayton Flyers,2
GLOW RED ,#F80228;,Dayton Flyers,3
GLOW BLUE ,#0200D1;,Dayton Flyers,4
WHITE,#FFFFFF;,Dayton Flyers,5
Maroon ,#8b2332;,Denver Pioneers,1
Bronze ,#8b6f4b;,Denver Pioneers,2
Delaware Blue,#00539f;,Delaware Blue Hens,1
Yellow,#FFDD31;,Delaware Blue Hens,2
Delaware Yellow-Gold,#ffd200;,Delaware Blue Hens,3
Red,#EE3124;,Delaware State Hornets,1
Light Blue,#72CDF4;,Delaware State Hornets,2
Blue,#009DDC;,Delaware State Hornets,3
Black,#231F20;,Delaware State Hornets,4
ROYAL BlUE ,#005EB8;,DePaul Blue Demons,1
SCARLET ,#E4002B;,DePaul Blue Demons,2
RED ,#A6093D;,Detroit Mercy Titans,1
BLUE ,#002D72;,Detroit Mercy Titans,2
GRAY ,#D7D2CB;,Detroit Mercy Titans,3
DRAKE BLUE ,#004477;,Drake Bulldogs,1
GRAY ,#999999;,Drake Bulldogs,2
WHITE,#FFFFFF;,Drake Bulldogs,3
Blue,#00437b;,Drexel Dragons,1
Gold,#ffda02;,Drexel Dragons,2
Blue (Duke Athletics),#003087;,Duke Blue Devils,1
