Season_Year,Team,Conference
1914,NYNG 7th Regimen,None
1914,Princeton,None
1914,Queen's,None
1914,Springfield Y.M.,None
1914,St. Nick's,None
1914,Williams,None
1914,Yale,None
1915,Army,None
1915,Boston A.A.,None
1915,Cornell,None
1915,Crescent AC,None
1915,Dartmouth,None
1915,Harvard,None
1915,MIT,None
1915,Mass. Agricultural,None
1915,McGill,None
1915,New Haven HC,None
1915,Newburgh A.C.,None
1915,Princeton,None
1915,Queen's,None
1915,RPI,None
1915,Stevens Tech,None
1915,Williams,None
1915,Yale,None
1916,Army,None
1916,Colgate,None
1916,Dartmouth,None
1916,Harvard,None
1916,MIT,None
1916,Mass. Agricultural,None
1916,McGill,None
1916,NY State College,None
1916,NYNG 7th Regimen,None
1916,New Rochelle Hoc,None
1916,Newman School,None
1916,Phila. Wanderers,None
1916,Princeton,None
1916,Queen's,None
1916,RPI,None
1916,Springfield Y.M.,None
1916,St. Nick's,None
1916,Verona Hockey Cl,None
1916,Williams,None
1916,Yale,None
1917,45,None
1917,Army,None
1917,Boston College,None
1917,Boston University,None
1917,Brooklyn Poly. I,None
1917,Camp Upton,None
1917,Erasmus H.S,None
1917,Flushing H.S,None
1917,Harv. Radio Schl,None
1917,Jamaica H.S,None
1917,Mass. Agricultural,None
1917,N.Y. Military Ac,None
1917,Newport Naval,None
1917,Springfield,None
1917,Williams,None
1917,Yale,None
1918,10,None
1918,Army,None
1918,Boston College,None
1918,Brooklyn Hockey,None
1918,CommonwealthPier,None
1918,Crescent Athleti,None
1918,Harvard,None
1918,Mass. Agricultural,None
1918,N.Y. Military Ac,None
1918,Princeton,None
1918,Yale,None
1919,Army,None
1919,Boston College,None
1919,Boston University,None
1919,Brockville HC,None
1919,Dartmouth,None
1919,Fordham,None
1919,Hamilton Tigers,None
1919,Harvard,None
1919,MIT,None
1919,Massachusetts AC,None
1919,N.Y. Military Ac,None
1919,NY State College,None
1919,New Rochelle Hoc,None
1919,Pennsylvania,None
1919,Princeton,None
1919,Queen's,None
1919,RPI,None
1919,St. Michael's,None
1919,Toronto,None
1919,Tufts,None
1919,Welland HC,None
1919,Williams,None
1919,Yale,None
1919,Yankee Division,None
1920,430,None
1920,Army,None
1920,Bates,None
1920,Boston College,None
1920,Buffalo State,None
1920,Carnegie Tech,None
1920,Colgate,None
1920,Cornell,None
1920,Dartmouth,None
1920,Hamilton,None
1920,Harvard,None
1920,King's,None
1920,MIT,None
1920,Mass. Agricultural,None
1920,Massachusetts AC,None
1920,Pennsylvania,None
1920,Princeton,None
1920,Quaker City HC,None
1920,Shoe Trades,None
1920,Springfield Y.M.,None
1920,St. Patrick's,None
1920,St. Paul's Schoo,None
1920,Williams,None
1920,Yale,None
1921,430,None
1921,Albany Country C,None
1921,Army,None
1921,Bates,None
1921,Boston A.A.,None
1921,Boston College,None
1921,Colgate,None
1921,Cornell,None
1921,Dalhousie,None
1921,Dartmouth,None
1921,Hamilton,None
1921,Hamline,None
1921,Harvard,None
1921,Luther Seminary,None
1921,MIT,None
1921,Mass. Agricultural,None
1921,McGill,None
1921,Melrose H.C.,None
1921,Mich. Coll. of Mines,None
1921,Minnesota,None
1921,New Haven Bears,None
1921,Notre Dame,None
1921,Pennsylvania,None
1921,Pere Marquette,None
1921,Princeton,None
1921,Quaker City HC,None
1921,Springfield,None
1921,St. Nick's,None
1921,St. Paul's,None
1921,St. Paul's Schoo,None
1921,Toronto,None
1921,Williams,None
1921,Wisconsin,None
1921,Yale,None
1922,36,None
1922,430,None
1922,63,None
1922,Albany Country C,None
1922,Amherst,None
1922,Army,None
1922,Bates,None
1922,Boston A.A.,None
1922,Boston College,None
1922,Boston H.C.,None
1922,Boston University,None
1922,Clarkson,None
