Season_Year,Team,Conference
1940,California,None
1940,Carnegie Tech,None
1940,Clarkson,None
1940,Colgate,None
1940,Colorado College,None
1940,Colorado Mines,None
1940,Cornell,None
1940,Dartmouth,Ivy League
1940,Franklin/Marsh.,None
1940,Georgetown,None
1940,Hamilton,None
1940,Harvard,Ivy League
1940,Illinois,None
1940,John Carroll,None
1940,Laramie Legion,None
1940,Lehigh,None
1940,London (Ont.),None
1940,London H.C.,None
1940,MIT,None
1940,Michigan,None
1940,Michigan Tech,None
1940,Middlebury,None
1940,Minnesota,None
1940,New Hampshire,None
1940,Northeastern,None
1940,Paris A.C.,None
1940,Penn State,None
1940,Princeton,Ivy League
1940,Sarnia A.C.,None
1940,St. Nick's,None
1940,Temple,None
1940,Tulsa All-Stars,None
1940,UCLA,None
1940,USC,None
1940,Union,None
1940,Western Ontario,None
1940,Williams,None
1940,Yale,CCHA
1940,Yale Alumni,None
1941,Army,Ivy League
1941,Bakersfield,None
1941,Boston College,None
1941,Boston University,None
1941,California,None
1941,Carnegie Tech,None
1941,Clarkson,None
1941,Colby,None
1941,Colgate,None
1941,Colorado College,None
1941,Cornell,None
1941,Dartmouth,Ivy League
1941,Franklin/Marsh.,None
1941,Georgetown,None
1941,Harvard,Ivy League
1941,Illinois,None
1941,Lehigh,None
1941,London (Ont.),None
1941,London H.C.,None
1941,MIT,None
1941,Michigan,None
1941,Michigan Tech,None
1941,Minnesota,None
1941,New Hampshire,None
1941,Northeastern,None
1941,Paris A.C.,None
1941,Penn State,None
1941,Point Edward,None
1941,Port Dover,None
1941,Princeton,Ivy League
1941,"Queens, Brooklyn",None
1941,Royal Military,None
1941,San Diego,None
1941,Santa Rosa,None
1941,St. Joseph's,None
1941,St. Nick's,None
1941,USC,None
1941,Union,None
1941,Williams,None
1941,Yale,CCHA
1941,Yale Alumni,None
1942,Army,Ivy League
1942,Army-Navy,None
1942,Boston College,None
1942,Boston University,None
1942,Clarkson,None
1942,Colgate,None
1942,Cornell,None
1942,Dartmouth,Ivy League
1942,Drexel,None
1942,Harvard,Ivy League
1942,Illinois,None
1942,London H.C.,None
1942,MIT,None
1942,Michigan,None
1942,Michigan Tech,None
1942,Minnesota,None
1942,New Hampshire,None
1942,Northeastern,None
1942,Paris A.C.,None
1942,Penn State,None
1942,Point Edward,None
1942,Port Dover,None
1942,Princeton,Ivy League
1942,S'field Warriors,None
1942,St. James AC,None
1942,Tufts,None
1942,Williams,None
1942,Yale,Ivy League
1943,Army,None
1943,Brantford A.C.,None
1943,Clarkson,None
1943,Colgate,None
1943,Cornell,None
1943,Dartmouth,None
1943,Detroit Vickers,None
1943,Fingal Air Force,None
1943,Fort Snelling,None
1943,Harrington Park,None
1943,Honeywell,None
1943,London H.C.,None
1943,Michigan,None
1943,Minnesota,None
1943,Navy Fliers,None
1943,Paris A.C.,None
1943,Penn State,None
1943,Port Arthur,None
1943,Sarnia A.C.,None
1943,St. James AC,None
1943,Williams,None
1943,Woodstock Army,None
1943,Yale,None
1944,15,None
1944,2nd AFA Battalio,None
1944,AF-Peterson Fiel,None
1944,Army,None
1944,Bermans,None
1944,Brantford A.C.,None
1944,Brooklyn Torpedo,None
1944,C. Springs Range,None
1944,Colorado College,None
1944,Cornell,None
1944,Dartmouth,None
1944,Detroit Vickers,None
1944,Ft. Wm. Columbus,None
1944,Jamaica Hawks,None
1944,London H.C.,None
1944,Michigan,None
1944,Middlesex-Huron,None
1944,Minnesota,None
1944,Park All-Stars,None
1944,Point Edward,None
1944,Sands Point,None
1944,St. James AC,None
1944,Waterloo A.C.,None
1944,Westchester,None
1944,Winnipeg All-Sta,None
1944,Yale,None
1945,23,None
1945,Army,None
1945,Boston College,None
1945,Boston University,None
1945,Bowdoin,None
1945,Brantford A.C.,None
1945,C. Springs AS,None
1945,Clinton Athletic,None
1945,Colgate,None
1945,Colorado College,None
1945,Cornell,None
1945,Dartmouth,None
1945,De La Salle,None
1945,Fort William,None
1945,Harvard,None
1945,Lehigh,None
1945,Manhattan Arrows,None
1945,Manitoba,None
1945,McMaster,None
1945,Michigan,None
1945,Michigan Tech,None
1945,Minnesota,None
1945,Montreal,None
1945,Owen Sound,None
1945,Paris A.C.,None
1945,Princeton,None
1945,Sarnia A.C.,None
1945,Saskatchewan,None
1945,Sault Ste. Marie,None
1945,St. James AC,None
1945,Toronto,None
1945,Westchester,None
1945,Windsor A.C.,None
1945,Windsor Colonial,None
1945,Windsor Spitfire,None
1945,Yale,None
1946,23,None
1946,Army,Ivy League
1946,Boston A.A.,None
1946,Boston College,None
1946,Boston University,None
1946,Brandon,None
1946,Brantford A.C.,None
1946,California,None
1946,Clarkson,None
1946,Colby,None
1946,Colgate,None
1946,Colorado College,None
1946,Cornell,None
1946,Dartmouth,Ivy League
1946,Dunne HC Of Prov,None
1946,Fort Devens,None
1946,Fort William,None
1946,Georgetown,None
1946,Hamilton,None
1946,Harvard,Ivy League
1946,Jr. Olympics,None
1946,Lehigh,None
1946,MIT,None
1946,Marquette H.C.,None
1946,McGill,None
1946,McMaster,None
1946,Michigan,None
1946,Michigan Tech,None
1946,Minnesota,None
1946,Needham HC,None
1946,Northeastern,None
1946,Norwich,None
1946,Penn State,None
1946,Princeton,CCHA
1946,Queen's,None
1946,SF Olympics,None
1946,St. James AC,None
1946,St. Nick's,None
1946,Toronto,None
1946,Tufts,None
1946,Tulsa Independen,None
1946,Waterloo A.C.,None
1946,Williams,None
1946,Windsor Spitfire,None
1946,Yale,CCHA
1947,23,None
1947,55,None
1947,Army,Ivy League
1947,Boston College,None
1947,Boston University,None
1947,British Columbia,None
1947,Brown,None
1947,California,None
1947,Clarkson,None
1947,Colby,None
1947,Colgate,None
1947,Colorado College,None
1947,Cornell,None
1947,Dartmouth,Ivy League
1947,Fort Devens,None
1947,Georgetown,None
1947,Hamilton,None
1947,Harvard,Ivy League
1947,Lehigh,None
1947,MIT,None
1947,Manitoba,None
1947,Massachusetts,None
1947,McGill,None
1947,McMaster,None
1947,Michigan,None
1947,Michigan Tech,None
1947,Middlebury,None
1947,Minnesota,None
1947,NDSU,None
1947,Neb.-Omaha,None
1947,New Hampshire,None
1947,North Dakota,None
1947,Northeastern,None
1947,Princeton,Ivy League
1947,Rye Hawks,None
1947,SF Olympics,None
1947,Saskatchewan,None
1947,St. Lawrence,None
1947,St. Nick's,None
1947,Toronto,None
1947,Westchester AS,None
1947,Western Ontario,None
1947,Wichita Flyers,None
1947,Williams,None
1947,Windsor Spitfire,None
1947,Winnipeg,None
1947,Yale,CCHA
1948,Alberta,None
1948,American Int'l,None
1948,Army,None
1948,Boston College,Ivy League
1948,Boston University,None
1948,Brown,Ivy League
1948,California,None
1948,Clarkson,None
1948,Colgate,None
1948,Colorado College,None
1948,Dartmouth,Ivy League
1948,Fort Devens,None
1948,Fort William,None
1948,Hamilton,None
1948,Harvard,Ivy League
1948,Lehigh,None
1948,MIT,None
1948,McGill,None
1948,McMaster,None
1948,Michigan,None
1948,Michigan Tech,None
1948,Middlebury,None
1948,Minnesota,None
1948,New Hampshire,None
1948,North Dakota,None
1948,Northeastern,None
1948,Princeton,Ivy League
1948,Queen's,None
1948,Rochester (AAHA),None
1948,Royal Military,None
1948,Sarnia A.C.,None
1948,St. Nick's,None
1948,Toledo Mercurys,None
1948,Toronto,None
1948,Westchester AS,None
1948,Wichita Flyers,None
1948,Williams,None
1948,Windsor Spitfire,None
1948,Winnipeg,None
1948,Yale,CCHA
1948,Yale Alumni,None
1949,Army,None
1949,Boston College,None
1949,Boston University,None
1949,British Columbia,None
1949,Brown,Ivy League
1949,Clarkson,None
1949,Colgate,None
1949,Colorado College,None
1949,Dartmouth,Ivy League
1949,Denver,None
1949,Hamilton,None
1949,Harvard,Ivy League
1949,MIT,None
1949,McGill,None
1949,McMaster,None
1949,Michigan,None
1949,Michigan State,None
1949,Michigan Tech,None
1949,Middlebury,None
1949,Minnesota,None
1949,Montreal,None
1949,Montréal,None
1949,New York A.C.,None
1949,North Dakota,None
1949,Northeastern,None
1949,Princeton,Ivy League
1949,Royal Military,None
1949,Saskatchewan,None
1949,St. John's,None
1949,St. Nick's,None
1949,Toronto,None
1949,Tufts,None
1949,Western Ontario,None
1949,Wichita AS,None
1949,Williams,None
1949,Windsor Spitfire,None
1949,Yale,CCHA
1949,Yale Alumni,None
1950,23,None
1950,49,None
1950,Alberta,None
1950,American Int'l,None
1950,Army,None
1950,Boston College,None
1950,Boston University,None
1950,Brandon,None
1950,Brown,Ivy League
1950,Clarkson,None
1950,Clinton Athletic,None
1950,Colgate,None
1950,Colorado College,None
1950,Dartmouth,Ivy League
1950,Denver,None
1950,Detroit A.C.,None
1950,Fort William,None
1950,Hamilton,None
1950,Harvard,Ivy League
1950,MIT,None
1950,McGill,None
1950,Michigan,None
1950,Michigan State,None
1950,Michigan Tech,None
1950,Middlebury,None
1950,Minnesota,None
1950,Montreal,None
1950,New York A.C.,None
1950,North Dakota,None
1950,Northeastern,None
1950,Princeton,Ivy League
1950,RPI,None
1950,Royal Military,None
1950,Springfield,None
1950,St. Lawrence,None
1950,Suffolk,None
1950,Toronto,None
1950,Tufts,None
1950,Western Ontario,None
1950,Williams,None
1950,Yale,CCHA
1950,Yale Alumni,None
1951,46,None
1951,American Int'l,None
1951,Amherst,None
1951,Army,None
1951,Boston College,None
1951,Boston University,None
1951,Brown,Ivy League
1951,Clarkson,None
1951,Colby,None
1951,Colorado College,WCHA
1951,Dartmouth,Ivy League
1951,Denver,WCHA
1951,Fort William,None
1951,Hamilton,None
1951,Harvard,Ivy League
1951,Laval,None
1951,MIT,None
1951,McGill,None
1951,Michigan,None
1951,Michigan State,WCHA
1951,Michigan Tech,WCHA
1951,Middlebury,None
1951,Minnesota,None
1951,Montreal,None
1951,North Dakota,WCHA
1951,Northeastern,None
1951,Princeton,Ivy League
1951,RPI,None
1951,Roch. Mustangs,None
1951,Royal Military,None
1951,Springfield,None
1951,St. Lawrence,None
1951,Toronto,None
1951,Tufts,None
1951,US Olympic,None
1951,Williams,None
1951,Yale,Ivy League
1952,27,None
1952,American Int'l,None
1952,Amherst,None
1952,Army,None
1952,Boston College,Ivy League
1952,Boston University,None
1952,Brown,Ivy League
1952,Clarkson,None
1952,Colorado College,WCHA
1952,Dartmouth,Ivy League
1952,Denver,WCHA
1952,Fort William,None
1952,Hamilton,None
1952,Harvard,Ivy League
1952,MIT,None
1952,McGill,None
1952,Michigan,None
1952,Michigan State,WCHA
1952,Michigan Tech,WCHA
1952,Middlebury,None
1952,Minnesota,None
1952,Minnesota-Duluth,None
1952,Montreal,None
1952,North Dakota,WCHA
1952,Northeastern,Ivy League
1952,Norwich,None
1952,Princeton,Ivy League
1952,Providence,None
1952,RPI,None
1952,Rhode Island,None
1952,Royal Military,None
1952,Springfield,None
1952,St. Boniface,None
1952,St. Lawrence,None
1952,Toronto,None
1952,Tufts,None
1952,Yale,Ivy League
1952,Yale Alumni,None
1953,American Int'l,None
1953,Amherst,None
1953,Army,None
1953,Boston College,None
1953,Boston University,None
1953,Brown,Ivy League
1953,Clarkson,None
1953,Colorado College,WCHA
1953,Dartmouth,Ivy League
1953,Denver,WCHA
1953,Fort William,None
1953,Grand Rapids,None
1953,Hamilton,None
1953,Harvard,Ivy League
1953,MIT,None
1953,Massachusetts,None
1953,McGill,None
1953,Michigan,WCHA
1953,Michigan State,WCHA
1953,Michigan Tech,WCHA
1953,Middlebury,None
1953,Minnesota,WCHA
1953,New Hampshire,None
1953,North Dakota,WCHA
1953,Northeastern,None
1953,Norwich,None
1953,Princeton,Ivy League
1953,Providence,None
1953,RPI,None
1953,Rhode Island,None
1953,Royal Military,None
1953,Springfield,None
1953,St. Boniface,None
1953,St. Lawrence,None
1953,Toronto,None
1953,Williams,None
1953,Yale,Ivy League
1953,Yale Alumni,None
1954,American Int'l,None
1954,Amherst,None
1954,Army,Northeast League
1954,Boston College,None
1954,Boston University,None
1954,Brown,Ivy League
1954,Clarkson,None
1954,Colorado College,WCHA
1954,Dartmouth,Ivy League
1954,Denver,WCHA
1954,Hamilton,None
1954,Harvard,Ivy League
1954,Lehigh,None
1954,MIT,None
1954,McGill,None
1954,Michigan,WCHA
1954,Michigan State,WCHA
1954,Michigan Tech,WCHA
1954,Middlebury,None
1954,Minnesota,WCHA
1954,Minnesota-Duluth,None
1954,Montreal,None
1954,New Hampshire,None
1954,New Roch. Eagles,None
1954,North Dakota,WCHA
1954,Northeastern,None
1954,Princeton,Ivy League
1954,Providence,None
1954,RPI,None
1954,Royal Military,None
1954,Springfield,None
1954,St. Boniface,None
1954,St. Lawrence,None
1954,Tufts,None
1954,Williams,None
1954,Winnipeg Barons,None
1954,Yale,Northeast League
1954,Yale Alumni,None
1955,American Int'l,None
1955,Amherst,None
1955,Army,None
1955,Boston College,None
1955,Boston University,None
1955,Brown,Ivy League
1955,Clarkson,None
1955,Colby,None
1955,Colorado College,WCHA
1955,Dalhousie,None
1955,Dartmouth,Ivy League
1955,Denver,WCHA
1955,Hamilton,None
1955,Harvard,Ivy League
1955,Massachusetts,None
1955,McGill,None
1955,Michigan,WCHA
1955,Michigan State,WCHA
1955,Michigan Tech,WCHA
1955,Middlebury,None
1955,Minnesota,WCHA
1955,Minnesota-Duluth,None
1955,Montreal,None
1955,New Hampshire,None
1955,North Dakota,WCHA
1955,Northeastern,None
1955,Norwich,None
1955,Princeton,Ivy League
1955,Providence,None
1955,RPI,None
1955,Royal Military,None
1955,Rye,None
1955,St. Boniface,None
1955,St. Francis Xav.,None
1955,St. Lawrence,None
1955,Tufts,None
1955,US Olympic,None
1955,Williams,None
1955,Yale,Ivy League
1955,Yale Alumni,None
1956,23,None
1956,American Int'l,None
1956,Amherst,None
1956,Army,None
1956,Boston College,None
1956,Boston University,None
1956,Bowdoin,None
1956,Brown,Ivy League
1956,Clarkson,None
1956,Colby,None
1956,Colorado College,WCHA
1956,Dartmouth,Ivy League
1956,Denver,WCHA
1956,Hamilton,None
1956,Harvard,Ivy League
1956,MIT,None
1956,McGill,None
1956,Michigan,WCHA
1956,Michigan State,WCHA
1956,Michigan Tech,WCHA
1956,Middlebury,None
1956,Minnesota,WCHA
1956,Montreal,None
1956,New Hampshire,None
1956,North Dakota,WCHA
1956,Northeastern,None
1956,Norwich,None
1956,Princeton,Ivy League
1956,Providence,Ivy League
1956,RPI,None
1956,Royal Military,None
1956,St. Boniface,None
1956,St. Lawrence,None
1956,Toronto,None
1956,Tufts,None
1956,Williams,None
1956,Winnipeg Rangers,None
1956,Yale,Ivy League
1957,23,None
1957,American Int'l,None
1957,Amherst,None
1957,Army,None
1957,Boston College,None
1957,Boston University,None
1957,Brown,Ivy League
1957,Clarkson,None
1957,Colby,None
1957,Colgate,None
1957,Colorado College,WCHA
1957,Cornell,None
1957,Dartmouth,Ivy League
1957,Denver,WCHA
1957,Hamilton,None
1957,Harvard,Ivy League
1957,Lehigh Club,None
1957,Massachusetts,None
1957,McGill,None
1957,Michigan,WCHA
1957,Michigan State,WCHA
1957,Michigan Tech,WCHA
1957,Middlebury,None
1957,Minnesota,WCHA
1957,Minnesota-Duluth,None
1957,New Hampshire,None
1957,North Dakota,WCHA
1957,Northeastern,None
1957,Norwich,None
1957,Ont. Ag. College,None
1957,Princeton,Ivy League
1957,Providence,Ivy League
1957,RPI,None
1957,Royal Military,None
1957,St. Lawrence,None
1957,Syracuse Stars,None
1957,Toledo Mercurys,WCHA
1957,Tufts,None
1957,US Nationals,None
1957,Williams,None
1957,Yale,Ivy League
1958,American Int'l,None
1958,Amherst,None
1958,Army,None
1958,Boston College,None
1958,Boston University,None
1958,Brown,Ivy League
1958,Clarkson,None
1958,Colby,None
1958,Colgate,None
1958,Colorado College,None
1958,Cornell,None
1958,Dartmouth,Ivy League
1958,Denver,None
1958,Hamilton,None
1958,Harvard,Ivy League
1958,MIT,None
1958,Massachusetts,None
1958,McGill,None
1958,Michigan,None
1958,Michigan State,None
1958,Michigan Tech,None
1958,Middlebury,None
1958,Minnesota,None
1958,Minnesota-Duluth,None
1958,New Hampshire,None
1958,North Dakota,None
1958,Northeastern,None
1958,Norwich,None
1958,Penn Club,None
1958,Princeton,Ivy League
1958,Providence,None
1958,RPI,None
1958,Royal Military,None
1958,St. Lawrence,None
1958,St. Michael's,None
1958,St. Nick's,None
1958,Toronto,None
1958,Tufts,None
1958,US Nationals,None
1958,Williams,None
1958,Yale,Ivy League
1958,Yale Alumni,None
1959,417,None
1959,American Int'l,None
1959,Amherst,None
1959,Army,None
1959,Boston College,None
1959,Boston University,Ivy League
1959,Bowdoin,None
1959,Brown,Ivy League
1959,Clarkson,None
1959,Colby,None
1959,Colgate,None
1959,Colorado College,WCHA
1959,Cornell,None
1959,Czech Olympics,None
1959,Dartmouth,Ivy League
1959,Denver,WCHA
1959,Hamilton,None
1959,Harvard,Ivy League
1959,Laval,None
1959,Massachusetts,None
1959,Merrimack,None
1959,Michigan,WCHA
1959,Michigan State,WCHA
1959,Michigan Tech,WCHA
1959,Middlebury,None
1959,Minnesota,WCHA
1959,Minnesota-Duluth,None
1959,New Hampshire,None
1959,North Dakota,WCHA
1959,Northeastern,None
1959,Norwich,None
1959,Penn Club,None
1959,Princeton,Ivy League
1959,Providence,None
1959,RPI,None
1959,Royal Military,None
1959,St. Lawrence,None
1959,St. Nick's,None
1959,Toronto,None
1959,Tufts,None
1959,US Olympic,None
1959,Williams,None
1959,Yale,ECAC
1959,Yale Alumni,None
1960,417,None
1960,American Int'l,None
1960,Amherst,None
1960,Army,None
1960,Boston College,ECAC
1960,Boston University,None
1960,Bowdoin,None
1960,Brown,Ivy League
1960,Clarkson,None
1960,Colby,ECAC
1960,Colgate,None
1960,Colorado College,WCHA
1960,Cornell,Ivy League
1960,Dartmouth,Ivy League
1960,Denver,WCHA
1960,Hamilton,None
1960,Harvard,Ivy League
1960,Laval,None
1960,Massachusetts,None
1960,Merrimack,None
1960,Michigan,WCHA
1960,Michigan State,WCHA
1960,Michigan Tech,WCHA
1960,Middlebury,None
1960,Minnesota,WCHA
1960,New Brunswick,None
1960,New Hampshire,None
1960,North Dakota,WCHA
1960,Northeastern,None
1960,Norwich,None
1960,Ohio U.,None
1960,Penn Club,None
1960,Princeton,Ivy League
1960,Providence,None
1960,RPI,None
1960,Royal Military,None
1960,Soviet Olympics,None
1960,St. Lawrence,None
1960,St. Nick's,None
1960,Toronto,None
1960,US Nationals,None
1960,Williams,None
1960,Yale,ECAC
1960,Yale Alumni,None
1961,417,None
1961,44,None
1961,57,None
1961,American Int'l,ECAC
1961,Army,ECAC
1961,Boston College,ECAC
1961,Boston University,ECAC
1961,Bowdoin,ECAC
1961,Brown,ECAC
1961,Clarkson,ECAC
1961,Colby,ECAC
1961,Colgate,ECAC
1961,Colorado College,WCHA
1961,Connecticut,ECAC
1961,Cornell,ECAC
1961,Dartmouth,ECAC
1961,Denver,WCHA
1961,Hamilton,ECAC
1961,Harvard,ECAC
1961,Laval,None
1961,Massachusetts,ECAC
1961,Merrimack,None
1961,Michigan,WCHA
1961,Michigan State,WCHA
1961,Michigan Tech,WCHA
1961,Middlebury,ECAC
1961,Minnesota,WCHA
1961,Minnesota-Duluth,None
1961,New Hampshire,None
1961,North Dakota,WCHA
1961,Northeastern,ECAC
1961,Norwich,None
1961,Ohio U.,None
1961,Penn Club,None
1961,Princeton,ECAC
1961,Providence,ECAC
1961,Queen's,None
1961,RPI,ECAC
1961,Royal Military,None
1961,St. Lawrence,ECAC
1961,St. Nick's,None
1961,Swedish National,None
1961,Swiss National T,None
1961,Toronto,None
1961,Williams,ECAC
1961,Yale,ECAC
1961,Yale Alumni,None
1962,417,None
1962,American Int'l,ECAC
1962,Army,ECAC
1962,Boston College,ECAC
1962,Boston University,ECAC
1962,Bowdoin,ECAC
1962,Brown,ECAC
1962,Chatham,None
1962,Clarkson,ECAC
1962,Colby,ECAC
1962,Colgate,ECAC
1962,Colorado College,WCHA
1962,Cornell,ECAC
1962,Dartmouth,ECAC
1962,Denver,WCHA
1962,Hamilton,ECAC
1962,Harvard,ECAC
1962,Laval,None
1962,MIT,None
1962,Massachusetts,None
1962,Merrimack,None
1962,Michigan,WCHA
1962,Michigan State,WCHA
1962,Michigan Tech,WCHA
1962,Middlebury,None
1962,Minnesota,WCHA
1962,Minnesota-Duluth,WCHA
1962,New Hampshire,None
1962,North Dakota,WCHA
1962,Northeastern,ECAC
1962,Norwich,None
1962,Ohio U.,None
1962,Penn Club,None
1962,Princeton,ECAC
1962,Providence,ECAC
1962,Queen's,None
1962,RPI,ECAC
1962,Royal Military,None
1962,Rutgers,None
1962,St. Lawrence,ECAC
1962,St. Nick's,None
1962,Toronto,None
1962,Williams,ECAC
1962,Yale,ECAC
1962,Yale Alumni,None
1963,417,None
1963,57,None
1963,63,None
1963,American Int'l,None
1963,Army,ECAC
1963,Boston College,ECAC
1963,Boston University,ECAC
1963,Bowdoin,ECAC
1963,Brown,ECAC
1963,Carleton,None
1963,Clarkson,ECAC
1963,Colby,ECAC
1963,Colgate,ECAC
1963,Colorado College,WCHA
1963,Cornell,ECAC
1963,Dartmouth,ECAC
1963,Denver,WCHA
1963,Hamilton,ECAC
1963,Hamline,None
1963,Harvard,ECAC
1963,Lake Forest,None
1963,Macalester,None
1963,Massachusetts,ECAC
1963,McGill,None
1963,Merrimack,None
1963,Michigan,WCHA
1963,Michigan State,WCHA
1963,Michigan Tech,WCHA
1963,Middlebury,ECAC
1963,Minnesota,WCHA
1963,Minnesota-Duluth,WCHA
1963,New Brunswick,None
1963,New Hampshire,None
1963,North Dakota,WCHA
1963,Northeastern,ECAC
1963,Norwich,None
1963,Ohio State,None
1963,Ohio U.,None
1963,Penn Club,None
1963,Princeton,ECAC
1963,Providence,ECAC
1963,Queen's,None
1963,RPI,ECAC
1963,Royal Military,None
1963,St. Lawrence,ECAC
1963,St. Mary's,None
1963,St. Nick's,None
1963,Toronto,None
1963,US Olympic,None
1963,Waterloo,ECAC
1963,Williams,None
1963,Wisconsin,None
1963,Yale,ECAC
1964,417,None
1964,57,None
1964,63,None
1964,American Int'l,None
1964,Army,ECAC
1964,Boston College,ECAC
1964,Boston University,ECAC
1964,Bowdoin,None
1964,Brown,ECAC
1964,Chatham,None
1964,Clarkson,ECAC
1964,Colby,ECAC
1964,Colgate,ECAC
1964,Colorado College,WCHA
1964,Cornell,ECAC
1964,Dartmouth,ECAC
1964,Denver,WCHA
1964,Hamilton,ECAC
1964,Hamline,None
1964,Harvard,ECAC
1964,Lake Forest,None
1964,Macalester,None
1964,Manitoba,None
1964,Massachusetts,None
1964,McGill,None
1964,Merrimack,None
1964,Michigan,WCHA
1964,Michigan State,WCHA
1964,Michigan Tech,WCHA
1964,Middlebury,None
1964,Minnesota,WCHA
1964,Minnesota-Duluth,WCHA
1964,New Brunswick,None
1964,New Hampshire,None
1964,North Dakota,WCHA
1964,Northeastern,ECAC
1964,Ohio State,None
1964,Ohio U.,None
1964,Ottawa,None
1964,Princeton,ECAC
1964,Providence,ECAC
1964,Queen's,None
1964,RPI,ECAC
1964,Royal Military,None
1964,Sir G. Williams,None
1964,St. Lawrence,ECAC
1964,St. Mary's,None
1964,St. Nick's,None
1964,US Nationals,None
1964,Waterloo,None
1964,Western Ontario,None
1964,Williams,ECAC
1964,Wisconsin,None
1964,Yale,ECAC
1965,63,None
1965,American Int'l,None
1965,Army,None
1965,Boston College,ECAC
1965,Boston University,ECAC
1965,Bowdoin,None
1965,Brown,ECAC
1965,Clarkson,ECAC
1965,Colby,ECAC
1965,Colgate,ECAC
1965,Colorado College,WCHA
1965,Cornell,ECAC
1965,Dartmouth,ECAC
1965,Denver,WCHA
1965,Eastern National,None
1965,Eastern Olympics,None
1965,Guelph,None
1965,Hamilton,None
1965,Harvard,ECAC
1965,Lake Forest,None
1965,Loyola,None
1965,Macalester,None
1965,Massachusetts,None
1965,McGill,None
1965,McMaster,None
1965,Merrimack,None
1965,Michigan,WCHA
1965,Michigan State,WCHA
1965,Michigan Tech,WCHA
1965,Middlebury,None
1965,Minnesota,WCHA
1965,Minnesota-Duluth,WCHA
1965,Montreal,None
1965,New Hampshire,ECAC
1965,North Dakota,WCHA
1965,Northeastern,ECAC
1965,Ohio State,None
1965,Ohio U.,None
1965,Pennsylvania,None
1965,Princeton,ECAC
1965,Providence,ECAC
1965,RPI,ECAC
1965,Royal Military,None
1965,St. John's,None
1965,St. Lawrence,ECAC
1965,St. Nick's,None
1965,Toronto,None
1965,Waterloo,None
1965,Waterloo Luth.,None
1965,Western Ontario,None
1965,Williams,None
1965,Wis.-Superior,None
1965,Wisconsin,WCHA
1965,Yale,ECAC
1965,York,None
1966,57,None
1966,American Int'l,None
1966,Army,None
1966,Augsburg,None
1966,Boston College,ECAC
1966,Boston University,ECAC
1966,Bowdoin,None
1966,Brown,ECAC
1966,Chatham,None
1966,Clarkson,ECAC
1966,Colby,ECAC
1966,Colgate,ECAC
1966,Colorado College,WCHA
1966,Connecticut,None
1966,Cornell,ECAC
1966,Dartmouth,ECAC
1966,Denver,WCHA
1966,Eastern National,None
1966,Eastern Olympics,None
1966,Guelph,None
1966,Hamilton,None
1966,Harvard,ECAC
1966,Lake Forest,None
1966,Massachusetts,None
1966,McGill,None
1966,McMaster,None
1966,Merrimack,None
1966,Michigan,WCHA
1966,Michigan State,WCHA
1966,Michigan Tech,WCHA
1966,Middlebury,None
1966,Minnesota,WCHA
1966,Minnesota-Duluth,WCHA
1966,New Brunswick,None
1966,New Hampshire,ECAC
1966,North Dakota,WCHA
1966,Northeastern,ECAC
1966,Ohio State,None
1966,Ohio U.,None
1966,Pennsylvania,None
1966,Princeton,ECAC
1966,Providence,ECAC
1966,RPI,ECAC
1966,Royal Military,None
1966,St. Lawrence,ECAC
1966,St. Mary's,None
1966,St. Nick's,None
1966,Vermont,None
1966,Waterloo Luth.,None
1966,Western Ontario,None
1966,Williams,None
1966,Wis.-Superior,None
1966,Wisconsin,WCHA
1966,Yale,ECAC
1967,11,None
1967,43,None
1967,57,None
1967,American Int'l,None
1967,Army,None
1967,Boston College,ECAC
1967,Boston University,ECAC
1967,Bowdoin,None
1967,Brown,ECAC
1967,Clarkson,ECAC
1967,Colby,None
1967,Colgate,ECAC
1967,Colorado College,WCHA
1967,Cornell,ECAC
1967,Dartmouth,ECAC
1967,Denver,WCHA
1967,Eastern National,None
1967,Guelph,None
1967,Gustavus Adolphu,None
1967,Hamilton,None
1967,Harvard,ECAC
1967,Lake Forest,None
1967,Massachusetts,None
1967,McGill,None
1967,McMaster,None
1967,Merrimack,None
1967,Michigan,WCHA
1967,Michigan State,WCHA
1967,Michigan Tech,WCHA
1967,Middlebury,None
1967,Minnesota,WCHA
1967,Minnesota-Duluth,WCHA
1967,New Hampshire,ECAC
1967,North Dakota,WCHA
1967,Northeastern,ECAC
1967,Norwich,None
1967,Ohio State,None
1967,Ohio U.,None
1967,Pennsylvania,ECAC
1967,Princeton,ECAC
1967,Providence,ECAC
1967,RPI,ECAC
1967,Royal Military,None
1967,Sir G. Williams,None
1967,St. John's,None
1967,St. Lawrence,ECAC
1967,St. Mary's,None
1967,St. Nick's,None
1967,US Nationals,None
1967,Vermont,None
1967,Waterloo Luth.,None
1967,Western Ontario,None
1967,Williams,None
1967,Wis.-Superior,None
1967,Wisconsin,WCHA
1967,Yale,ECAC
1968,11,None
1968,Air Force,None
1968,American Int'l,None
1968,Army,None
1968,Bishop's,None
1968,Boston College,ECAC
1968,Boston University,ECAC
1968,Bowdoin,None
1968,Brown,ECAC
1968,Clarkson,ECAC
1968,Colgate,ECAC
1968,Colorado College,WCHA
1968,Connecticut,None
1968,Cornell,ECAC
1968,Dartmouth,ECAC
1968,Denver,WCHA
1968,Guelph,None
1968,Hamilton,None
1968,Harvard,ECAC
